DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
cardiovascular disease,Prevotella,"showed that atherosclerotic plaques in human  endarterectomy specimens contain DNA from  a variety of bacteria, such as Prevotella intermedia,  Porphyromonas gingivalis, Actinobacillus actinomy  cetemcomitans,  and  Bacteroides  forsythus.73  However, the intestinal microbiota of patients  with atherosclerotic cardiovascular disease is dif  ferent from that of healthy individuals.",What is the relationship between cardiovascular disease and Prevotella?,positive
cardiovascular disease,Enterobacteriaceae,"The intest  inal microbiota of patients with atherosclerotic  cardiovascular disease has higher levels of  Streptococcus and Enterobacteriaceae,74 indicating  that alterations in the intestinal microbiota are  indeed associated with atherosclerosis.",What is the relationship between cardiovascular disease and Enterobacteriaceae?,positive
cardiovascular disease,Streptococcus,"The intest  inal microbiota of patients with atherosclerotic  cardiovascular disease has higher levels of  Streptococcus and Enterobacteriaceae,74 indicating  that alterations in the intestinal microbiota are  indeed associated with atherosclerosis.",What is the relationship between cardiovascular disease and Streptococcus?,positive
atherosclerosis,Enterobacteriaceae,"The intest  inal microbiota of patients with atherosclerotic  cardiovascular disease has higher levels of  Streptococcus and Enterobacteriaceae,74 indicating  that alterations in the intestinal microbiota are  indeed associated with atherosclerosis.",What is the relationship between atherosclerosis and Enterobacteriaceae?,positive
atherosclerosis,Streptococcus,"The intest  inal microbiota of patients with atherosclerotic  cardiovascular disease has higher levels of  Streptococcus and Enterobacteriaceae,74 indicating  that alterations in the intestinal microbiota are  indeed associated with atherosclerosis.",What is the relationship between atherosclerosis and Streptococcus?,positive
hypertension,Ruminococcus,"IPA promotes the reverse transport of cho  lesterol by macrophages and alleviates the develop  ment of atherosclerotic plaques in ApoE /  mice.97  Gut microbiota   derived phenylalanine metabolite  phenylacetylglutamine (PAGln) accelerates platelet  clot  formation  and  enhances  thrombosis  potential.98 For example, greater numbers of  microbes associated with PAGln synthesis, such  as Roseburia, Blautia, and Ruminococcus, as well  as elevated plasma levels of intestinal microbiota    derived metabolite PAGln, were detected in CAD  patients with in-stent restenosis.99 Hypertension Due to a combination of genetic and environmen  tal variables, hypertension is one of the most com  mon chronic diseases and a significant risk factor  for cardiovascular and kidney disease.",What is the relationship between hypertension and Ruminococcus?,relate
hypertension,Roseburia,"IPA promotes the reverse transport of cho  lesterol by macrophages and alleviates the develop  ment of atherosclerotic plaques in ApoE /  mice.97  Gut microbiota   derived phenylalanine metabolite  phenylacetylglutamine (PAGln) accelerates platelet  clot  formation  and  enhances  thrombosis  potential.98 For example, greater numbers of  microbes associated with PAGln synthesis, such  as Roseburia, Blautia, and Ruminococcus, as well  as elevated plasma levels of intestinal microbiota    derived metabolite PAGln, were detected in CAD  patients with in-stent restenosis.99 Hypertension Due to a combination of genetic and environmen  tal variables, hypertension is one of the most com  mon chronic diseases and a significant risk factor  for cardiovascular and kidney disease.",What is the relationship between hypertension and Roseburia?,relate
hypertension,Blautia,"IPA promotes the reverse transport of cho  lesterol by macrophages and alleviates the develop  ment of atherosclerotic plaques in ApoE /  mice.97  Gut microbiota   derived phenylalanine metabolite  phenylacetylglutamine (PAGln) accelerates platelet  clot  formation  and  enhances  thrombosis  potential.98 For example, greater numbers of  microbes associated with PAGln synthesis, such  as Roseburia, Blautia, and Ruminococcus, as well  as elevated plasma levels of intestinal microbiota    derived metabolite PAGln, were detected in CAD  patients with in-stent restenosis.99 Hypertension Due to a combination of genetic and environmen  tal variables, hypertension is one of the most com  mon chronic diseases and a significant risk factor  for cardiovascular and kidney disease.",What is the relationship between hypertension and Blautia?,relate
myocardial infarction,Lactobacillus,"Lactobacillus, Bacteroides, and Streptococcus, possibly from the gut, have been detected in the blood microbiome of patients with acute ST-segment elevation myocardial infarction.",What is the relationship between myocardial infarction and Lactobacillus?,relate
myocardial infarction,Streptococcus,"Lactobacillus, Bacteroides, and Streptococcus, possibly from the gut, have been detected in the blood microbiome of patients with acute ST-segment elevation myocardial infarction.",What is the relationship between myocardial infarction and Streptococcus?,relate
myocardial infarction,Bacteroides,"Lactobacillus, Bacteroides, and Streptococcus, possibly from the gut, have been detected in the blood microbiome of patients with acute ST-segment elevation myocardial infarction.",What is the relationship between myocardial infarction and Bacteroides?,relate
heart failure (HF),Streptococcus mutans,"Streptococcus mutans, Clostridium symbiotic and  Eubacterium eligen have also been found to be  enriched in patients with heart failure.123 ImP  impacts insulin signaling at the insulin receptor  substrate level by activating p38  MAPK, thereby  promoting p62 phosphorylation and subsequently  inducing rapamycin complex 1 (mTORC1) signal  ing; these mechanisms are associated with cardiac  fibrosis, hypertrophy, and heart failure.124 Myocardial hypertrophy and fibrosis Pathological cardiac remodeling, characterized by  heart hypertrophy and fibrosis, is a pathological  feature of many heart diseases and can lead to  heart failure and cardiac arrest.",What is the relationship between heart failure (HF) and Streptococcus mutans?,positive
heart failure (HF),Eubacterium,"Streptococcus mutans, Clostridium symbiotic and  Eubacterium eligen have also been found to be  enriched in patients with heart failure.123 ImP  impacts insulin signaling at the insulin receptor  substrate level by activating p38  MAPK, thereby  promoting p62 phosphorylation and subsequently  inducing rapamycin complex 1 (mTORC1) signal  ing; these mechanisms are associated with cardiac  fibrosis, hypertrophy, and heart failure.124 Myocardial hypertrophy and fibrosis Pathological cardiac remodeling, characterized by  heart hypertrophy and fibrosis, is a pathological  feature of many heart diseases and can lead to  heart failure and cardiac arrest.",What is the relationship between heart failure (HF) and Eubacterium?,positive
heart failure (HF),Clostridium,"Streptococcus mutans, Clostridium symbiotic and  Eubacterium eligen have also been found to be  enriched in patients with heart failure.123 ImP  impacts insulin signaling at the insulin receptor  substrate level by activating p38  MAPK, thereby  promoting p62 phosphorylation and subsequently  inducing rapamycin complex 1 (mTORC1) signal  ing; these mechanisms are associated with cardiac  fibrosis, hypertrophy, and heart failure.124 Myocardial hypertrophy and fibrosis Pathological cardiac remodeling, characterized by  heart hypertrophy and fibrosis, is a pathological  feature of many heart diseases and can lead to  heart failure and cardiac arrest.",What is the relationship between heart failure (HF) and Clostridium?,positive
atrial fibrillation,Faecalibacterium,"Similar to other cardiovascular diseases, butyrate-producing bacteria such as  Faecalibacterium and Oscillibacter have decreased  abundance in the gut of patients with atrial fibrilla  tion, while Ruminococcus, Streptococcus, and  Enterococcus are significantly increased in the gut  of patients with atrial fibrillation.135 One study  found that the levels of Bacteroides and Prevotella  in a high-risk CHA2DS2-VASc group were higher  and lower, respectively, than those in a low-risk  CHA2DS2-VASc group, suggesting that the risk  of thromboembolism in patients with atrial fibrilla  tion is associated with intestinal flora.136 The relationship between atrial fibrillation and  inflammation, especially the NLRP3 inflamma  some, which is involved in the pathogenesis of  atrial fibrillation, has recently attracted increasing  attention.",What is the relationship between atrial fibrillation and Faecalibacterium?,negative
